dataset,width,height,aspect,min_side,mode
DTD,400,440,0.909,400,RGB
DTD,600,576,1.042,576,RGB
DTD,352,310,1.135,310,RGB
DTD,640,578,1.107,578,RGB
DTD,640,586,1.092,586,RGB
DTD,611,612,0.998,611,RGB
DTD,600,572,1.049,572,RGB
DTD,640,587,1.09,587,RGB
DTD,639,516,1.238,516,RGB
DTD,600,450,1.333,450,RGB
DTD,452,369,1.225,369,RGB
DTD,640,523,1.224,523,RGB
DTD,558,423,1.319,423,RGB
DTD,515,640,0.805,515,RGB
DTD,509,450,1.131,450,RGB
DTD,481,476,1.011,476,RGB
DTD,393,368,1.068,368,RGB
DTD,375,371,1.011,371,RGB
DTD,480,437,1.098,437,RGB
DTD,600,466,1.288,466,RGB
DTD,470,403,1.166,403,RGB
DTD,639,424,1.507,424,RGB
DTD,430,525,0.819,430,RGB
DTD,311,317,0.981,311,RGB
DTD,429,360,1.192,360,RGB
DTD,320,480,0.667,320,RGB
DTD,640,480,1.333,480,RGB
DTD,391,383,1.021,383,RGB
DTD,450,449,1.002,449,RGB
DTD,400,300,1.333,300,RGB
DTD,349,320,1.091,320,RGB
DTD,640,427,1.499,427,RGB
DTD,465,456,1.02,456,RGB
DTD,640,469,1.365,469,RGB
DTD,564,410,1.376,410,RGB
DTD,600,450,1.333,450,RGB
DTD,640,585,1.094,585,RGB
DTD,605,634,0.954,605,RGB
DTD,626,417,1.501,417,RGB
DTD,457,578,0.791,457,RGB
DTD,585,572,1.023,572,RGB
DTD,620,583,1.063,583,RGB
DTD,640,400,1.6,400,RGB
DTD,450,485,0.928,450,RGB
DTD,392,395,0.992,392,RGB
DTD,409,640,0.639,409,RGB
DTD,640,607,1.054,607,RGB
DTD,640,533,1.201,533,RGB
DTD,639,425,1.504,425,RGB
DTD,460,480,0.958,460,RGB
DTD,431,402,1.072,402,RGB
DTD,400,300,1.333,300,RGB
DTD,600,450,1.333,450,RGB
DTD,531,480,1.106,480,RGB
DTD,532,305,1.744,305,RGB
DTD,550,400,1.375,400,RGB
DTD,360,338,1.065,338,RGB
DTD,400,305,1.311,305,RGB
DTD,432,445,0.971,432,RGB
DTD,426,454,0.938,426,RGB
DTD,300,400,0.75,300,RGB
DTD,529,334,1.584,334,RGB
DTD,640,611,1.047,611,RGB
DTD,640,511,1.252,511,RGB
DTD,335,320,1.047,320,RGB
DTD,640,474,1.35,474,RGB
DTD,640,427,1.499,427,RGB
DTD,640,427,1.499,427,RGB
DTD,434,340,1.276,340,RGB
DTD,393,534,0.736,393,RGB
DTD,640,549,1.166,549,RGB
DTD,520,582,0.893,520,RGB
DTD,500,500,1.0,500,RGB
DTD,575,530,1.085,530,RGB
DTD,331,371,0.892,331,RGB
DTD,304,309,0.984,304,RGB
DTD,592,563,1.052,563,RGB
DTD,500,500,1.0,500,RGB
DTD,640,488,1.311,488,RGB
DTD,640,581,1.102,581,RGB
DTD,586,451,1.299,451,RGB
DTD,400,400,1.0,400,RGB
DTD,545,622,0.876,545,RGB
DTD,639,585,1.092,585,RGB
DTD,465,509,0.914,465,RGB
DTD,575,534,1.077,534,RGB
DTD,500,333,1.502,333,RGB
DTD,626,417,1.501,417,RGB
DTD,312,378,0.825,312,RGB
DTD,385,385,1.0,385,RGB
DTD,640,640,1.0,640,RGB
DTD,640,640,1.0,640,RGB
DTD,501,400,1.252,400,RGB
DTD,640,400,1.6,400,RGB
DTD,409,321,1.274,321,RGB
DTD,620,412,1.505,412,RGB
DTD,500,375,1.333,375,RGB
DTD,640,412,1.553,412,RGB
DTD,490,527,0.93,490,RGB
DTD,640,385,1.662,385,RGB
DTD,365,331,1.103,331,RGB
DTD,400,400,1.0,400,RGB
DTD,480,640,0.75,480,RGB
DTD,321,638,0.503,321,RGB
DTD,400,400,1.0,400,RGB
DTD,400,300,1.333,300,RGB
DTD,501,476,1.053,476,RGB
DTD,305,327,0.933,305,RGB
DTD,640,480,1.333,480,RGB
DTD,640,480,1.333,480,RGB
DTD,640,520,1.231,520,RGB
DTD,494,494,1.0,494,RGB
DTD,639,606,1.054,606,RGB
DTD,377,397,0.95,377,RGB
DTD,400,400,1.0,400,RGB
DTD,356,388,0.918,356,RGB
DTD,522,521,1.002,521,RGB
DTD,400,398,1.005,398,RGB
DTD,469,481,0.975,469,RGB
DTD,500,375,1.333,375,RGB
DTD,548,501,1.094,501,RGB
DTD,578,519,1.114,519,RGB
DTD,640,629,1.017,629,RGB
DTD,455,501,0.908,455,RGB
DTD,640,448,1.429,448,RGB
DTD,590,367,1.608,367,RGB
DTD,411,351,1.171,351,RGB
DTD,470,309,1.521,309,RGB
DTD,640,426,1.502,426,RGB
DTD,635,555,1.144,555,RGB
DTD,435,320,1.359,320,RGB
DTD,640,426,1.502,426,RGB
DTD,321,388,0.827,321,RGB
DTD,640,480,1.333,480,RGB
DTD,637,640,0.995,637,RGB
DTD,640,640,1.0,640,RGB
DTD,343,398,0.862,343,RGB
DTD,305,314,0.971,305,RGB
DTD,400,300,1.333,300,RGB
DTD,500,500,1.0,500,RGB
DTD,315,365,0.863,315,RGB
DTD,400,400,1.0,400,RGB
DTD,550,630,0.873,550,RGB
DTD,640,640,1.0,640,RGB
DTD,528,640,0.825,528,RGB
DTD,640,427,1.499,427,RGB
DTD,512,512,1.0,512,RGB
DTD,317,311,1.019,311,RGB
DTD,428,607,0.705,428,RGB
DTD,606,640,0.947,606,RGB
DTD,512,512,1.0,512,RGB
DTD,640,531,1.205,531,RGB
DTD,600,450,1.333,450,RGB
DTD,640,508,1.26,508,RGB
DTD,304,394,0.772,304,RGB
DTD,300,400,0.75,300,RGB
DTD,469,421,1.114,421,RGB
DTD,640,480,1.333,480,RGB
DTD,348,338,1.03,338,RGB
DTD,313,432,0.725,313,RGB
DTD,300,300,1.0,300,RGB
DTD,601,620,0.969,601,RGB
DTD,640,400,1.6,400,RGB
DTD,352,320,1.1,320,RGB
DTD,447,599,0.746,447,RGB
DTD,545,640,0.852,545,RGB
DTD,568,569,0.998,568,RGB
DTD,345,343,1.006,343,RGB
DTD,553,427,1.295,427,RGB
DTD,335,305,1.098,305,RGB
DTD,640,537,1.192,537,RGB
DTD,640,432,1.481,432,RGB
DTD,396,400,0.99,396,RGB
DTD,347,320,1.084,320,RGB
DTD,448,310,1.445,310,RGB
DTD,500,500,1.0,500,RGB
DTD,600,450,1.333,450,RGB
DTD,541,414,1.307,414,RGB
DTD,300,480,0.625,300,RGB
DTD,501,501,1.0,501,RGB
DTD,300,300,1.0,300,RGB
DTD,640,480,1.333,480,RGB
DTD,305,325,0.938,305,RGB
DTD,449,379,1.185,379,RGB
DTD,458,346,1.324,346,RGB
DTD,640,522,1.226,522,RGB
DTD,363,380,0.955,363,RGB
DTD,435,570,0.763,435,RGB
DTD,338,330,1.024,330,RGB
DTD,640,571,1.121,571,RGB
DTD,512,512,1.0,512,RGB
DTD,496,462,1.074,462,RGB
DTD,480,429,1.119,429,RGB
DTD,480,480,1.0,480,RGB
DTD,588,441,1.333,441,RGB
DTD,452,370,1.222,370,RGB
DTD,577,480,1.202,480,RGB
DTD,466,562,0.829,466,RGB
DTD,640,480,1.333,480,RGB
DTD,639,487,1.312,487,RGB
DTD,639,394,1.622,394,RGB
DTD,349,369,0.946,349,RGB
DTD,640,485,1.32,485,RGB
DTD,475,640,0.742,475,RGB
DTD,307,320,0.959,307,RGB
DTD,640,477,1.342,477,RGB
DTD,394,395,0.997,394,RGB
DTD,550,508,1.083,508,RGB
DTD,640,507,1.262,507,RGB
DTD,360,480,0.75,360,RGB
DTD,640,511,1.252,511,RGB
DTD,425,318,1.336,318,RGB
DTD,620,600,1.033,600,RGB
DTD,360,310,1.161,310,RGB
DTD,509,543,0.937,509,RGB
DTD,436,432,1.009,432,RGB
DTD,300,300,1.0,300,RGB
DTD,499,563,0.886,499,RGB
DTD,600,455,1.319,455,RGB
DTD,516,600,0.86,516,RGB
DTD,554,564,0.982,554,RGB
DTD,388,518,0.749,388,RGB
DTD,426,419,1.017,419,RGB
DTD,569,640,0.889,569,RGB
DTD,501,639,0.784,501,RGB
DTD,522,510,1.024,510,RGB
DTD,345,333,1.036,333,RGB
DTD,640,480,1.333,480,RGB
DTD,640,640,1.0,640,RGB
DTD,381,355,1.073,355,RGB
DTD,540,540,1.0,540,RGB
DTD,436,415,1.051,415,RGB
DTD,633,547,1.157,547,RGB
DTD,480,639,0.751,480,RGB
DTD,452,336,1.345,336,RGB
DTD,640,480,1.333,480,RGB
DTD,347,387,0.897,347,RGB
DTD,465,371,1.253,371,RGB
DTD,356,356,1.0,356,RGB
DTD,314,305,1.03,305,RGB
DTD,437,437,1.0,437,RGB
DTD,572,313,1.827,313,RGB
DTD,640,640,1.0,640,RGB
DTD,351,310,1.132,310,RGB
DTD,530,490,1.082,490,RGB
DTD,580,429,1.352,429,RGB
DTD,366,339,1.08,339,RGB
DTD,305,467,0.653,305,RGB
DTD,640,640,1.0,640,RGB
DTD,486,555,0.876,486,RGB
DTD,640,514,1.245,514,RGB
DTD,419,616,0.68,419,RGB
DTD,606,640,0.947,606,RGB
DTD,346,357,0.969,346,RGB
DTD,426,524,0.813,426,RGB
DTD,639,589,1.085,589,RGB
DTD,640,435,1.471,435,RGB
DTD,600,430,1.395,430,RGB
DTD,570,526,1.084,526,RGB
DTD,607,624,0.973,607,RGB
DTD,300,423,0.709,300,RGB
DTD,458,640,0.716,458,RGB
DTD,581,639,0.909,581,RGB
DTD,342,360,0.95,342,RGB
DTD,640,480,1.333,480,RGB
DTD,550,349,1.576,349,RGB
DTD,500,500,1.0,500,RGB
DTD,350,350,1.0,350,RGB
DTD,511,503,1.016,503,RGB
DTD,640,480,1.333,480,RGB
DTD,500,375,1.333,375,RGB
DTD,548,310,1.768,310,RGB
DTD,640,477,1.342,477,RGB
DTD,398,444,0.896,398,RGB
DTD,419,367,1.142,367,RGB
DTD,330,364,0.907,330,RGB
DTD,500,500,1.0,500,RGB
DTD,375,310,1.21,310,RGB
DTD,481,427,1.126,427,RGB
DTD,482,447,1.078,447,RGB
DTD,401,348,1.152,348,RGB
DTD,640,513,1.248,513,RGB
DTD,427,640,0.667,427,RGB
DTD,300,300,1.0,300,RGB
DTD,600,373,1.609,373,RGB
DTD,532,320,1.663,320,RGB
DTD,500,375,1.333,375,RGB
DTD,427,640,0.667,427,RGB
DTD,512,466,1.099,466,RGB
DTD,459,310,1.481,310,RGB
DTD,600,600,1.0,600,RGB
DTD,600,450,1.333,450,RGB
DTD,500,333,1.502,333,RGB
DTD,305,359,0.85,305,RGB
DTD,512,489,1.047,489,RGB
DTD,561,526,1.067,526,RGB
DTD,631,640,0.986,631,RGB
DTD,640,522,1.226,522,RGB
DTD,600,360,1.667,360,RGB
DTD,640,480,1.333,480,RGB
DTD,640,364,1.758,364,RGB
DTD,305,320,0.953,305,RGB
DTD,305,321,0.95,305,RGB
DTD,480,640,0.75,480,RGB
DTD,640,559,1.145,559,RGB
DTD,356,476,0.748,356,RGB
DTD,450,338,1.331,338,RGB
DTD,537,486,1.105,486,RGB
DTD,471,452,1.042,452,RGB
DTD,521,471,1.106,471,RGB
DTD,300,300,1.0,300,RGB
DTD,521,534,0.976,521,RGB
DTD,407,412,0.988,407,RGB
DTD,337,310,1.087,310,RGB
DTD,450,483,0.932,450,RGB
DTD,500,300,1.667,300,RGB
DTD,329,316,1.041,316,RGB
DTD,503,452,1.113,452,RGB
DTD,640,416,1.538,416,RGB
DTD,333,414,0.804,333,RGB
DTD,342,442,0.774,342,RGB
DTD,561,386,1.453,386,RGB
DTD,481,354,1.359,354,RGB
DTD,585,460,1.272,460,RGB
DTD,544,640,0.85,544,RGB
DTD,639,426,1.5,426,RGB
DTD,334,380,0.879,334,RGB
DTD,389,365,1.066,365,RGB
DTD,445,393,1.132,393,RGB
DTD,616,640,0.963,616,RGB
DTD,439,348,1.261,348,RGB
DTD,445,364,1.223,364,RGB
DTD,427,640,0.667,427,RGB
DTD,475,315,1.508,315,RGB
DTD,337,310,1.087,310,RGB
DTD,640,640,1.0,640,RGB
DTD,640,579,1.105,579,RGB
DTD,640,531,1.205,531,RGB
DTD,600,527,1.139,527,RGB
DTD,686,511,1.342,511,RGB
DTD,626,626,1.0,626,RGB
DTD,303,305,0.993,303,RGB
DTD,500,369,1.355,369,RGB
DTD,308,315,0.978,308,RGB
DTD,307,315,0.975,307,RGB
DTD,340,500,0.68,340,RGB
DTD,600,600,1.0,600,RGB
DTD,480,430,1.116,430,RGB
DTD,350,381,0.919,350,RGB
DTD,427,640,0.667,427,RGB
DTD,640,480,1.333,480,RGB
DTD,602,465,1.295,465,RGB
DTD,393,393,1.0,393,RGB
DTD,480,640,0.75,480,RGB
DTD,429,528,0.812,429,RGB
DTD,640,551,1.162,551,RGB
DTD,416,382,1.089,382,RGB
DTD,405,506,0.8,405,RGB
DTD,450,450,1.0,450,RGB
DTD,640,427,1.499,427,RGB
DTD,402,401,1.002,401,RGB
DTD,358,392,0.913,358,RGB
DTD,550,557,0.987,550,RGB
DTD,639,485,1.318,485,RGB
DTD,640,350,1.829,350,RGB
DTD,427,439,0.973,427,RGB
DTD,389,300,1.297,300,RGB
DTD,498,640,0.778,498,RGB
DTD,640,426,1.502,426,RGB
DTD,640,585,1.094,585,RGB
DTD,640,480,1.333,480,RGB
DTD,300,356,0.843,300,RGB
DTD,310,465,0.667,310,RGB
DTD,300,300,1.0,300,RGB
DTD,520,543,0.958,520,RGB
DTD,640,478,1.339,478,RGB
DTD,390,505,0.772,390,RGB
DTD,574,537,1.069,537,RGB
DTD,639,426,1.5,426,RGB
DTD,450,430,1.047,430,RGB
DTD,567,583,0.973,567,RGB
DTD,640,427,1.499,427,RGB
DTD,323,319,1.013,319,RGB
DTD,640,480,1.333,480,RGB
DTD,640,480,1.333,480,RGB
DTD,317,464,0.683,317,RGB
DTD,444,639,0.695,444,RGB
DTD,348,365,0.953,348,RGB
DTD,338,450,0.751,338,RGB
DTD,639,480,1.331,480,RGB
DTD,550,378,1.455,378,RGB
DTD,640,480,1.333,480,RGB
DTD,420,448,0.938,420,RGB
DTD,640,640,1.0,640,RGB
DTD,610,640,0.953,610,RGB
DTD,484,422,1.147,422,RGB
DTD,639,426,1.5,426,RGB
DTD,340,342,0.994,340,RGB
DTD,601,506,1.188,506,RGB
DTD,487,639,0.762,487,RGB
DTD,500,373,1.34,373,RGB
DTD,599,640,0.936,599,RGB
DTD,309,400,0.772,309,RGB
DTD,500,444,1.126,444,RGB
DTD,400,300,1.333,300,RGB
DTD,510,599,0.851,510,RGB
DTD,371,475,0.781,371,RGB
DTD,353,320,1.103,320,RGB
DTD,443,640,0.692,443,RGB
DTD,399,600,0.665,399,RGB
DTD,639,424,1.507,424,RGB
DTD,531,537,0.989,531,RGB
DTD,480,640,0.75,480,RGB
DTD,640,480,1.333,480,RGB
DTD,500,500,1.0,500,RGB
DTD,640,640,1.0,640,RGB
DTD,555,530,1.047,530,RGB
DTD,507,320,1.584,320,RGB
DTD,640,480,1.333,480,RGB
DTD,591,640,0.923,591,RGB
DTD,468,312,1.5,312,RGB
DTD,639,426,1.5,426,RGB
DTD,640,480,1.333,480,RGB
DTD,337,500,0.674,337,RGB
DTD,520,476,1.092,476,RGB
DTD,640,640,1.0,640,RGB
DTD,300,450,0.667,300,RGB
DTD,300,300,1.0,300,RGB
DTD,530,452,1.173,452,RGB
DTD,475,333,1.426,333,RGB
DTD,640,480,1.333,480,RGB
DTD,480,480,1.0,480,RGB
DTD,310,325,0.954,310,RGB
DTD,536,403,1.33,403,RGB
DTD,700,659,1.062,659,RGB
DTD,343,318,1.079,318,RGB
DTD,484,363,1.333,363,RGB
DTD,397,386,1.028,386,RGB
DTD,368,305,1.207,305,RGB
DTD,367,468,0.784,367,RGB
DTD,640,543,1.179,543,RGB
DTD,620,585,1.06,585,RGB
DTD,459,441,1.041,441,RGB
DTD,512,512,1.0,512,RGB
DTD,542,610,0.889,542,RGB
DTD,392,418,0.938,392,RGB
DTD,640,428,1.495,428,RGB
DTD,498,410,1.215,410,RGB
DTD,310,338,0.917,310,RGB
DTD,438,620,0.706,438,RGB
DTD,372,390,0.954,372,RGB
DTD,340,323,1.053,323,RGB
DTD,480,640,0.75,480,RGB
DTD,592,507,1.168,507,RGB
DTD,640,416,1.538,416,RGB
DTD,411,599,0.686,411,RGB
DTD,355,337,1.053,337,RGB
DTD,346,640,0.541,346,RGB
DTD,480,480,1.0,480,RGB
DTD,325,355,0.915,325,RGB
DTD,359,392,0.916,359,RGB
DTD,607,605,1.003,605,RGB
DTD,640,581,1.102,581,RGB
DTD,640,381,1.68,381,RGB
DTD,404,394,1.025,394,RGB
DTD,440,329,1.337,329,RGB
DTD,415,640,0.648,415,RGB
DTD,306,404,0.757,306,RGB
DTD,375,338,1.109,338,RGB
DTD,310,379,0.818,310,RGB
DTD,470,640,0.734,470,RGB
DTD,437,348,1.256,348,RGB
DTD,331,370,0.895,331,RGB
DTD,640,480,1.333,480,RGB
DTD,450,338,1.331,338,RGB
DTD,366,338,1.083,338,RGB
DTD,640,567,1.129,567,RGB
DTD,488,461,1.059,461,RGB
DTD,328,310,1.058,310,RGB
DTD,607,364,1.668,364,RGB
DTD,415,354,1.172,354,RGB
DTD,519,442,1.174,442,RGB
DTD,391,403,0.97,391,RGB
DTD,463,640,0.723,463,RGB
DTD,320,316,1.013,316,RGB
DTD,358,450,0.796,358,RGB
DTD,639,425,1.504,425,RGB
DTD,318,313,1.016,313,RGB
DTD,508,602,0.844,508,RGB
DTD,640,396,1.616,396,RGB
DTD,340,320,1.062,320,RGB
DTD,300,300,1.0,300,RGB
DTD,507,361,1.404,361,RGB
DTD,506,429,1.179,429,RGB
DTD,310,307,1.01,307,RGB
DTD,640,509,1.257,509,RGB
DTD,424,523,0.811,424,RGB
DTD,323,435,0.743,323,RGB
DTD,640,402,1.592,402,RGB
DTD,640,468,1.368,468,RGB
DTD,640,427,1.499,427,RGB
DTD,511,437,1.169,437,RGB
DTD,640,474,1.35,474,RGB
DTD,628,542,1.159,542,RGB
DTD,640,597,1.072,597,RGB
DTD,438,594,0.737,438,RGB
DTD,500,375,1.333,375,RGB
DTD,444,458,0.969,444,RGB
DTD,640,628,1.019,628,RGB
DTD,639,479,1.334,479,RGB
DTD,390,360,1.083,360,RGB
DTD,454,304,1.493,304,RGB
DTD,640,530,1.208,530,RGB
DTD,370,302,1.225,302,RGB
DTD,527,525,1.004,525,RGB
DTD,640,597,1.072,597,RGB
DTD,346,323,1.071,323,RGB
DTD,417,360,1.158,360,RGB
DTD,526,568,0.926,526,RGB
DTD,457,420,1.088,420,RGB
DTD,414,482,0.859,414,RGB
DTD,510,330,1.545,330,RGB
DTD,429,329,1.304,329,RGB
DTD,640,593,1.079,593,RGB
DTD,495,464,1.067,464,RGB
DTD,365,402,0.908,365,RGB
DTD,434,640,0.678,434,RGB
DTD,640,476,1.345,476,RGB
DTD,640,613,1.044,613,RGB
DTD,382,449,0.851,382,RGB
DTD,349,409,0.853,349,RGB
DTD,600,587,1.022,587,RGB
DTD,528,640,0.825,528,RGB
DTD,640,478,1.339,478,RGB
DTD,356,310,1.148,310,RGB
DTD,354,320,1.106,320,RGB
DTD,640,528,1.212,528,RGB
DTD,639,426,1.5,426,RGB
DTD,411,387,1.062,387,RGB
DTD,635,640,0.992,635,RGB
DTD,362,328,1.104,328,RGB
DTD,640,416,1.538,416,RGB
DTD,457,426,1.073,426,RGB
DTD,640,480,1.333,480,RGB
